"var","par","lab","mean","se_mean","sd","X2.5.","X10.","X50.","X90.","X97.5.","n_eff","Rhat"
"frp","b_d","degrd",0.333857206128827,0.0027136988456217,0.0759705508800746,0.180789892415229,0.238425163726121,0.335581595013072,0.424501284895716,0.479689885069867,783.731407847939,1.00673656661817
"frp","b_r","restr",0.590078782593387,0.00349903538402858,0.137122764714469,0.326027176141715,0.418866905639876,0.589718079802412,0.765130223800202,0.873230234860463,1535.75682309068,1.00011237289321
"frp","b_dp","degrd:rain1",0.152298783879336,0.00017137718041303,0.0105330526815081,0.132332637136848,0.138613788754466,0.152344998136945,0.165402400930575,0.173263859169889,3777.48306523623,0.999991904579446
"frp","b_rp","restr:rain1",-0.251300017242948,0.00128925914872049,0.0721165144541976,-0.394816196501163,-0.343265800229252,-0.251468091116752,-0.159032832344416,-0.108861913223566,3128.88075885598,1.00010475954456
"frp","b_add1","channel",0.0839629790599633,0.000519839340492577,0.033169273804741,0.0178683571821429,0.0407837209170628,0.0839217147504557,0.126261459353231,0.148609228838786,4071.30501945575,1.00024502249646
"frp","b_add2","season",0.0629167265896151,7.44071765523082e-05,0.00615570154117621,0.0505885247646411,0.0550309847469444,0.0628923557865444,0.0708096284302187,0.0749065368568287,6844.24361602127,0.999873356039376
"frp","t_mu","time (mean)",0.0118597833145142,0.000564544626097516,0.026578041230674,-0.0371597665197986,-0.0201834385129832,0.0105055618764193,0.0459725595643868,0.0667976596020166,2216.40635236252,0.999292534121197
"frp","b_auto_t","autoT",0.272110392535637,0.000319048488657284,0.0238790896952744,0.224360460667129,0.241895041712379,0.27193063000784,0.302381091479288,0.318312431443141,5601.72971688171,1.00011790887339
"frp","b_auto_s","autoS",0.660066530710641,0.000846438827761951,0.0551309414654888,0.551364619381653,0.589060318411715,0.660710406176827,0.729591905888831,0.773152683833874,4242.28326479882,0.999615892929513
"frp","a_s[1]","Sa",-0.239370934699342,0.00248418164852746,0.066874901929265,-0.373886270348475,-0.319965473427653,-0.240128509380259,-0.158251939590114,-0.106480048278294,724.702263756362,1.00235448018137
"frp","a_s[2]","Ly",0.171626699001742,0.00452680595532152,0.127405945182807,-0.0869098131735732,0.0122490410577818,0.173833059271573,0.324372040812027,0.414274455430249,792.128485411451,1.00410388317292
"frp","a_s[3]","Ol",-0.0649851967902514,0.00383219193164919,0.107535022007001,-0.282377107048732,-0.195023804385765,-0.0618759159136794,0.0673804004057271,0.140157950683008,787.418025313817,1.00331948595825
"frp","a_s[4]","Br",0.247023603726151,0.00358979374134139,0.0876410561605887,0.0693481602038951,0.144311575883362,0.245134824260706,0.356404076651631,0.421999608750451,596.041107612193,1.00973404121745
"frp","a_s[5]","Fe",0.159088460677859,0.00311465759736898,0.0718987292974876,0.0148236631365887,0.0735998141342664,0.159290627660492,0.248780737167508,0.306166808641981,532.870660524673,1.00831254607348
"frp","a_s[6]","D4",0.0400976572700175,0.00228729366829506,0.0583948381469446,-0.0746624622263883,-0.0318978910132893,0.0394180813314405,0.111410646587883,0.159950047464771,651.786052130281,1.00382660194745
"frp","a_s[7]","D8",0.0194052348674141,0.00244530428567116,0.0656598586446702,-0.110254601585489,-0.0611860952392993,0.0185002302649747,0.101001806330921,0.154929306209443,720.998014643166,1.00131750405702
"frp","a_s[8]","L4",-0.0658981427845915,0.00294216851007785,0.0681750100463886,-0.205867749414284,-0.147010977113545,-0.067197655205223,0.0195778266039858,0.0724871373637724,536.927113545499,1.00827245262353
"frp","a_s[9]","L1",-0.130807830691408,0.00377264969838937,0.090884030335287,-0.31909641001527,-0.240448581957163,-0.131823901673624,-0.0182496665792469,0.0491985048491336,580.339582355404,1.00880534699594
"frp","a_s[10]","Ls",-0.0656050954512651,0.00325071183531681,0.077704291044664,-0.226799555082331,-0.159784553312973,-0.0662698032268729,0.03261198308101,0.0819653365705404,571.390558424628,1.00938349266014
"frp","a_s[11]","Ln",-0.0142501527284552,0.00260834220694778,0.0665960193181796,-0.145946433765259,-0.0953305532872587,-0.0153528631336668,0.0699142174227573,0.116610184025508,651.879619343678,1.00611583683783
"frp","b_t[1]","Sa",-0.0709241713350038,0.000194241425711066,0.0145373714383678,-0.0992548532832527,-0.0895957786003607,-0.0709544618524564,-0.0522652755766501,-0.0428248488567798,5601.29002106526,0.999570975914633
"frp","b_t[2]","Ly",-0.021977975888567,0.000214375316775653,0.0144394767409117,-0.0506821098773953,-0.0402189805815383,-0.0219622128689891,-0.00349875496587831,0.00586819720476946,4536.83884489733,0.999648952404881
"frp","b_t[3]","Ol",0.0180338248444164,0.000202789385340799,0.0140128563732474,-0.00926415426824622,7.15332285084461e-05,0.0180821264974738,0.0358803244685235,0.0447573334143445,4774.8848599542,0.999795941366894
"frp","b_t[4]","Br",-0.0786764264689487,0.000243650385677312,0.0165427950074745,-0.111375311704933,-0.0999273731525558,-0.078778662279023,-0.057805434656167,-0.0469302098153074,4609.81577733881,0.99940960822075
"frp","b_t[5]","Fe",0.0484029836020509,0.000230944086943484,0.0157029980617201,0.0179268939157571,0.0284587344689872,0.0485678301432131,0.0685514410781528,0.0796879138788007,4623.29345051503,0.999502811367178
"frp","b_t[6]","D4",-0.0531463518682265,0.00023035525266892,0.0150754359958985,-0.0830368814846369,-0.0724243352725762,-0.0528968566751298,-0.0334116623126095,-0.0240990682245775,4282.95511474717,0.999768082953013
"frp","b_t[7]","D8",0.0738066427591837,0.000803115153687767,0.0415265942698885,-0.00502454237702703,0.0204658067967044,0.073841418936612,0.126751134399659,0.155612158076109,2673.60342129445,1.00046556579902
"frp","b_t[8]","L4",0.0029070841366534,0.000383053921942214,0.0177007463240863,-0.0318494160728139,-0.0195478326218035,0.0026866032676565,0.0260927636421414,0.0380459740448333,2135.3217790475,1.00083878192994
"frp","b_t[9]","L1",0.0814749614963966,0.00071990024938791,0.0406041915246051,0.0054449431906346,0.0286517171345281,0.0811098326387611,0.133797950234481,0.163668918523827,3181.24478109023,1.00052021023509
"frp","b_t[10]","Ls",0.0696855734180824,0.00104873356775093,0.0475494295640089,-0.0193783614087341,0.00933629661143329,0.067964457331684,0.13138780667147,0.16767631627641,2055.70259569366,0.99979011467175
"frp","b_t[11]","Ln",0.0616879860211268,0.00145665118407206,0.0595820606943974,-0.0456350661557695,-0.0101238718776864,0.0589013030723429,0.138871416918847,0.186727565743562,1673.09232407414,0.999806003382402
"tp","b_d","degrd",0.231428226041247,0.00103099927208266,0.0448632273071824,0.138023727444963,0.17737622371889,0.232451466295806,0.284529274202991,0.321019115423231,1893.49562823721,1.00133331596121
"tp","b_r","restr",0.911040831847374,0.00278304106644119,0.148207577158828,0.632106982436876,0.726270550089961,0.905864528953972,1.10144822389355,1.21269044600143,2835.96969491663,1.00072455678856
