"site","x","rain1","rain1_p_ind","var","comparison","d050","d025","d975"
"Ln",1,0,1,"tss","NvS",0.28990706859125,-2.68496898704358,2.70514420692823
"Ln",2,2,3,"tss","NvS",-0.466909614154679,-7.47100595227604,5.25045245557324
"Ln",3,8,5,"tss","NvS",-4.11918449051729,-22.8997696038003,10.9357154792046
"Ln",4,20,7,"tss","NvS",-13.7569434235884,-57.3503686941294,19.7690322917148
"Ln",6,0,1,"tss","SvR",-7.61481616676113,-16.0084278927816,-1.79728521996707
"Ln",7,2,3,"tss","SvR",-12.0657175933307,-29.0485598148023,-0.134862271894798
"Ln",8,8,5,"tss","SvR",-16.0861593622629,-50.9103079166565,11.1321479908136
"Ln",9,20,7,"tss","SvR",-13.8309989965264,-75.6566870778867,41.358628679511
"L4",1,0,1,"tss","NvS",0.109615811754066,-0.868177118947518,1.17839452075187
"L4",2,2,3,"tss","NvS",-0.174405713176774,-2.47369027081897,2.24482802673341
"L4",3,8,5,"tss","NvS",-1.54250393395128,-7.50693745585173,4.72155393936402
"L4",4,20,7,"tss","NvS",-5.09605504420814,-18.3218583542599,8.69294914897218
"L4",6,0,1,"tss","SvR",-7.96422306039396,-16.3672373503017,-2.65325618691826
"L4",7,2,3,"tss","SvR",-13.4192441858241,-30.1107281978657,-2.58938749504164
"L4",8,8,5,"tss","SvR",-20.7194317042448,-54.5301046820394,2.18037513453022
"L4",9,20,7,"tss","SvR",-24.7222266655668,-84.8002240700225,16.7496885489014
"Ls",1,0,1,"tss","NvS",0.176963541079353,-1.50294009326291,1.79143633628911
"Ls",2,2,3,"tss","NvS",-0.288176119147883,-4.40650206429141,3.52452876409978
"Ls",3,8,5,"tss","NvS",-2.61562236993383,-13.6937659443888,7.51211164757003
"Ls",4,20,7,"tss","NvS",-8.83265983505788,-34.5349753295239,13.8246080541858
"Ls",6,0,1,"tss","SvR",-8.29606485552127,-16.9018785859932,-2.65218400139541
"Ls",7,2,3,"tss","SvR",-13.7737062388115,-30.8970564237838,-2.00018524009234
"Ls",8,8,5,"tss","SvR",-20.4933878723189,-56.0910832099856,5.5610030898856
"Ls",9,20,7,"tss","SvR",-22.6123414668146,-86.3873814575452,26.6730807586494
"L1",1,0,1,"tss","NvS",0.0272532607773366,-0.199270023509934,0.321502212181429
"L1",2,2,3,"tss","NvS",-0.044381522251447,-0.590030927039565,0.624941552749321
"L1",3,8,5,"tss","NvS",-0.401245357022939,-1.83818305647321,1.33953717457892
"L1",4,20,7,"tss","NvS",-1.33140500493332,-4.62261495592928,2.51673921064505
"L1",6,0,1,"tss","SvR",-8.66222933233119,-17.4827572789462,-3.030593254412
"L1",7,2,3,"tss","SvR",-15.2213916725524,-32.6260026231083,-3.39512193251671
"L1",8,8,5,"tss","SvR",-24.7723247909421,-60.2190710895739,0.252026093103139
"L1",9,20,7,"tss","SvR",-32.8578791956397,-97.5105433948194,14.1029711415181
"D8",1,0,1,"ec","NvS",-64.5666314684869,-86.2223763349108,-45.2015315738023
"D8",2,2,3,"ec","NvS",-38.9519151862399,-56.4139166408231,-22.757918113919
"D8",3,8,5,"ec","NvS",-17.519544048858,-32.1856793901066,-3.04108697221448
"D8",4,20,7,"ec","NvS",-3.81272000153457,-17.2578232306797,10.283263767527
"D8",6,0,1,"ec","SvR",325.966723346682,181.768653028426,411.909275585138
"D8",7,2,3,"ec","SvR",228.282236881256,68.9763398382886,305.735246059405
"D8",8,8,5,"ec","SvR",139.498109407523,-32.2274030648584,210.694456608829
"D8",9,20,7,"ec","SvR",76.267140189791,-109.379016033131,145.442975390672
"D4",1,0,1,"ec","NvS",-38.3969720712551,-50.6492007437401,-27.0331071630023
"D4",2,2,3,"ec","NvS",-23.0968316702198,-33.1513338879867,-13.6845440143328
"D4",3,8,5,"ec","NvS",-10.360543396495,-18.8353746902106,-1.80604434496565
"D4",4,20,7,"ec","NvS",-2.25625959417586,-10.0830652925004,6.07695615316132
"D4",6,0,1,"ec","SvR",324.908813910466,162.596629283803,414.951012250587
"D4",7,2,3,"ec","SvR",230.261660041823,55.0919336891237,312.883820587986
"D4",8,8,5,"ec","SvR",142.692927372039,-44.7263915197778,219.571134584177
"D4",9,20,7,"ec","SvR",79.9133200839967,-115.340350170262,156.880161009926
"Ln",1,0,1,"ec","NvS",-243.802794002848,-323.285821459634,-169.041430154555
"Ln",2,2,3,"ec","NvS",-140.690930909594,-201.596111274754,-81.1258157738969
"Ln",3,8,5,"ec","NvS",-59.6179277948219,-110.851105647762,-10.1359751057904
"Ln",4,20,7,"ec","NvS",-12.2469092945593,-56.2215933339721,32.2697002212775
"Ln",6,0,1,"ec","SvR",644.207173970894,386.895920216137,816.462951928784
"Ln",7,2,3,"ec","SvR",422.70361988334,171.885727189487,569.373833438828
"Ln",8,8,5,"ec","SvR",235.4864469076,-12.8517785539071,360.636763846432
"Ln",9,20,7,"ec","SvR",112.733150081289,-132.145588798884,226.810803698757
"L4",1,0,1,"ec","NvS",-101.019998208266,-132.50195379714,-70.6263929630226
"L4",2,2,3,"ec","NvS",-58.4453023765664,-83.1361809288872,-34.1784105740338
"L4",3,8,5,"ec","NvS",-25.0009489116632,-45.2697355751531,-4.3174305083861
"L4",4,20,7,"ec","NvS",-5.14728909942482,-23.405190131845,14.1228958026346
"L4",6,0,1,"ec","SvR",576.841183648075,273.775072593177,749.578922109648
"L4",7,2,3,"ec","SvR",390.99736810308,96.5379223990517,548.000098626629
"L4",8,8,5,"ec","SvR",229.386463364102,-53.579609439201,369.63254147416
"L4",9,20,7,"ec","SvR",121.453066493912,-154.423530767996,251.297323704977
"Ls",1,0,1,"ec","NvS",-185.422150405834,-244.02493922054,-128.861698519737
"Ls",2,2,3,"ec","NvS",-106.216369493415,-152.176498552876,-61.4383454096062
"Ls",3,8,5,"ec","NvS",-44.6258090821259,-82.1141565830864,-7.6693864831014
"Ls",4,20,7,"ec","NvS",-9.0313552711788,-41.666985879332,24.4364905515827
"Ls",6,0,1,"ec","SvR",700.810342878998,359.205570329767,905.753822658398
"Ls",7,2,3,"ec","SvR",466.178600010536,138.794638751776,648.444053911638
"Ls",8,8,5,"ec","SvR",264.242958785359,-40.319508415858,421.408556928173
"Ls",9,20,7,"ec","SvR",133.021122919073,-160.130701884864,276.504358279608
"L1",1,0,1,"ec","NvS",-32.7181418701088,-42.7937086630072,-22.5725378493827
"L1",2,2,3,"ec","NvS",-18.7429471819879,-26.6577770346041,-10.8493183548514
"L1",3,8,5,"ec","NvS",-7.8330504024367,-14.2871578980287,-1.42915976109961
"L1",4,20,7,"ec","NvS",-1.57857696285228,-7.21502537103794,4.52081477979352
"L1",6,0,1,"ec","SvR",656.52961645889,253.667308090854,893.060067947657
"L1",7,2,3,"ec","SvR",445.763174705041,70.3939808772425,659.520596575557
"L1",8,8,5,"ec","SvR",265.521236962901,-83.0856680933536,456.263977742234
"L1",9,20,7,"ec","SvR",144.366733182964,-184.326520335215,320.699342217198
"D8",1,0,1,"tem","NvS",1.28331831874111,0.715798461138318,1.82132168757325
"D8",2,2,3,"tem","NvS",0.976639823754946,0.432792326037835,1.48910178722721
"D8",3,8,5,"tem","NvS",0.669647756376522,0.117058192771644,1.19017576499508
"D8",4,20,7,"tem","NvS",0.435850011978252,-0.139453675384415,0.982084495587417
"D8",6,0,1,"tem","SvR",2.32640378371163,1.36746456778511,3.26634269358325
"D8",7,2,3,"tem","SvR",2.39865929638038,1.46290056287927,3.33335841869499
"D8",8,8,5,"tem","SvR",2.4731212956204,1.52526815373612,3.42385497128462
"D8",9,20,7,"tem","SvR",2.53039654576317,1.56087698973096,3.4952419644174
"D4",1,0,1,"tem","NvS",0.772459095090175,0.427902077547765,1.10435621834267
"D4",2,2,3,"tem","NvS",0.585363911796346,0.257728453209458,0.89751371151961
"D4",3,8,5,"tem","NvS",0.400265752595553,0.069650256390799,0.714611624049156
"D4",4,20,7,"tem","NvS",0.259501169686841,-0.0822209201859192,0.588675463998315
"D4",6,0,1,"tem","SvR",3.11233314754446,2.15109591508702,4.02674115060656
"D4",7,2,3,"tem","SvR",3.04721151104305,2.11215792209894,3.96439956470006
"D4",8,8,5,"tem","SvR",2.97797731049207,2.03359795598243,3.9179845061505
"D4",9,20,7,"tem","SvR",2.92626369407613,1.97501650842624,3.87046489536441
"Ln",1,0,1,"tem","NvS",3.84751762983794,2.22332249930782,5.33529322478174
"Ln",2,2,3,"tem","NvS",2.96642705860918,1.34665562022808,4.42718543577057
"Ln",3,8,5,"tem","NvS",2.05930837403562,0.374245071718834,3.57082769854454
"Ln",4,20,7,"tem","NvS",1.35351888402255,-0.440899833277612,2.97405854168964
"Ln",6,0,1,"tem","SvR",1.20508843566582,-0.530876393702399,3.12024753265984
"Ln",7,2,3,"tem","SvR",1.7479266342549,0.056556279018774,3.69081717152929
"Ln",8,8,5,"tem","SvR",2.31034435946161,0.564735908055379,4.27518980844058
"Ln",9,20,7,"tem","SvR",2.77194658338426,0.954832715800196,4.80414139871751
"L4",1,0,1,"tem","NvS",1.74559730686665,0.979580150710642,2.4879079085263
"L4",2,2,3,"tem","NvS",1.3255558267298,0.586050759290034,2.03225496602853
"L4",3,8,5,"tem","NvS",0.905858707798322,0.159557562435683,1.6110810015806
"L4",4,20,7,"tem","NvS",0.587052298172024,-0.185049814538204,1.32536977098354
"L4",6,0,1,"tem","SvR",4.02549734938999,2.5358699940774,5.51713863093745
"L4",7,2,3,"tem","SvR",4.06769045985412,2.58495158978509,5.56818813037293
"L4",8,8,5,"tem","SvR",4.09656020294317,2.60032815442969,5.62803070214722
"L4",9,20,7,"tem","SvR",4.11764310079605,2.60994905138334,5.67866543041335
"Ls",1,0,1,"tem","NvS",2.97071223306722,1.68796332953641,4.18957319278262
"Ls",2,2,3,"tem","NvS",2.26927775580492,1.01688162392445,3.43660467031961
"Ls",3,8,5,"tem","NvS",1.56227031862142,0.279008463081848,2.74539472757473
"Ls",4,20,7,"tem","NvS",1.01694074495803,-0.324098123279999,2.26253702544848
"Ls",6,0,1,"tem","SvR",3.18973211109497,1.43261970973344,5.05833386933726
"Ls",7,2,3,"tem","SvR",3.46635046086268,1.75234292894502,5.3142182241218
"Ls",8,8,5,"tem","SvR",3.75707578106531,2.00464788937309,5.61201665850633
"Ls",9,20,7,"tem","SvR",3.98560056720029,2.19563999980418,5.90997269189212
"L1",1,0,1,"tem","NvS",0.570971522707126,0.314162661853648,0.82616335557216
"L1",2,2,3,"tem","NvS",0.428232156136078,0.187416949222252,0.665017182245911
"L1",3,8,5,"tem","NvS",0.289803514647399,0.050756625533554,0.523969298341237
"L1",4,20,7,"tem","NvS",0.186242652669495,-0.0572767383803572,0.426246788296592
"L1",6,0,1,"tem","SvR",6.56134294966421,4.7781645777648,8.36301676758397
"L1",7,2,3,"tem","SvR",6.21300580307064,4.46164504117936,7.99802285011067
"L1",8,8,5,"tem","SvR",5.86260433514365,4.11703678853021,7.68077184947393
"L1",9,20,7,"tem","SvR",5.5966909841137,3.82771014187143,7.46922242268005
"D8",1,0,1,"tn","NvS",0.229031263841058,0.152522459714012,0.31087675925856
"D8",2,2,3,"tn","NvS",0.137888224604098,0.0678583579434235,0.213591129990299
"D8",3,8,5,"tn","NvS",0.00465086007405324,-0.0771312955825916,0.0866429939592019
"D8",4,20,7,"tn","NvS",-0.133921091439921,-0.250721666456717,-0.0310999476887658
"D8",6,0,1,"tn","SvR",-0.118252658983468,-0.798506601053589,0.279172212364929
"D8",7,2,3,"tn","SvR",-0.0510230589332141,-0.828575663465007,0.408416828598388
"D8",8,8,5,"tn","SvR",0.0471932101518023,-0.842440975999528,0.596424512892618
"D8",9,20,7,"tn","SvR",0.152670424011473,-0.840340373561113,0.77718867276966
"D4",1,0,1,"tn","NvS",0.147146685804624,0.0949666992045627,0.20359193898749
"D4",2,2,3,"tn","NvS",0.0861305774305872,0.0415607891710194,0.134268415543123
"D4",3,8,5,"tn","NvS",0.00285803550515296,-0.0454524514166378,0.0526708436141324
"D4",4,20,7,"tn","NvS",-0.0784793559293537,-0.145642202348939,-0.0180006796393695
"D4",6,0,1,"tn","SvR",0.0392275052198756,-0.674129371698058,0.479976433940316
"D4",7,2,3,"tn","SvR",0.0656085568450719,-0.762993089117254,0.584555963409362
"D4",8,8,5,"tn","SvR",0.101056189654039,-0.86068575556066,0.712584122765715
"D4",9,20,7,"tn","SvR",0.134076201235374,-0.943189525810859,0.8323450075394
"Ln",1,0,1,"tn","NvS",0.441108985241814,0.300935644865041,0.585930965256715
"Ln",2,2,3,"tn","NvS",0.305150098413511,0.153874011622585,0.459305375346838
"Ln",3,8,5,"tn","NvS",0.0122668128218562,-0.208245259223227,0.21553962588227
"Ln",4,20,7,"tn","NvS",-0.388319198487227,-0.759212307143649,-0.0842816525127664
"Ln",6,0,1,"tn","SvR",-0.629465107413522,-1.40855154773289,-0.147788156422715
"Ln",7,2,3,"tn","SvR",-0.491889866183004,-1.40463194928685,0.080372100295738
"Ln",8,8,5,"tn","SvR",-0.189551223998289,-1.25357513352854,0.514877762467995
